PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Skal Labissiere,PF-C,5.70%,8.75,9.00,6' 10.5'',6' 11.75'',8' 9.5'',215.8,7' 2.5''
Thon Maker,PF,6.05%,8.75,9.50,6' 11.75'',7' 0.75'',9' 2.5'',216.0,7' 3''
Patrick McCaw,PG-SG,4.70%,8.75,8.75,6' 5.25'',6' 6.75'',8' 4.5'',180.8,6' 10''
Gary Payton II,PG,3.95%,8.75,9.50,6' 2'',6' 3'',8' 3.5'',183.8,6' 8''
Malachi Richardson,SG-SF,7.00%,8.75,10.00,6' 4.75'',6' 6.25'',8' 5.5'',199.6,7' 0''
Jarrod Uthoff,PF,6.00%,8.75,9.00,6' 8.5'',6' 9.75'',8' 8'',214.4,6' 11.5''
Malik Beasley,SG,6.90%,8.50,9.00,6' 3.5'',6' 4.5'',8' 4.5'',189.8,6' 7''
Jaron Blossomgame,SF,5.25%,8.50,10.00,6' 6.25'',6' 7.25'',8' 6'',213.6,6' 10''
Elgin Cook,SF,6.35%,8.50,10.25,6' 5'',6' 6.25'',8' 4.5'',209.8,6' 10''
Cheick Diallo,PF,5.60%,8.50,9.75,6' 7.5'',6' 9'',8' 11.5'',218.6,7' 4.5''
Henry Ellenson,PF,11.20%,8.50,9.75,6' 10'',6' 11.5'',9' 0'',242.0,7' 2.25''
Josh Hart,SG,5.75%,8.50,9.25,6' 4'',6' 5.5'',8' 3.5'',203.6,6' 8.5''
Nigel Hayes,SF-PF,10.90%,8.50,9.50,6' 6.25'',6' 7.25'',8' 11.5'',245.0,7' 3''
Buddy Hield,SG,6.10%,8.50,9.00,6' 3.75'',6' 5'',8' 5'',212.4,6' 9.25''
Caris LeVert,SG,7.55%,8.50,9.25,6' 5.75'',6' 7'',8' 5'',191.0,6' 10''
Diamond Stone,C,12.85%,8.50,7.75,6' 9'',6' 10.25'',9' 0.5'',254.4,7' 2.75''
Denzel Valentine,SG-SF,9.20%,8.50,9.75,6' 4'',6' 5.75'',8' 6'',210.4,6' 10.75''
Isaiah Whitehead,PG-SG,9.25%,8.50,8.75,6' 3.25'',6' 4.5'',8' 4'',210.0,6' 8.75''
Isaiah Cousins,PG,4.80%,8.25,8.75,6' 3.25'',6' 4.5'',8' 2.5'',194.0,6' 6.25''
Kay Felder,PG,5.80%,8.25,8.50,5' 8.25'',5' 9.5'',7' 4.5'',177.2,6' 2.5''
Demetrius Jackson,PG,6.50%,8.25,9.00,6' 0'',6' 1.25'',7' 9'',193.8,6' 5.5''
Jake Layman,SF,7.10%,8.25,9.25,6' 8'',6' 9.25'',8' 6'',208.6,6' 9.25''
Malik Newman,SG,5.60%,8.25,9.25,6' 2.25'',6' 3.5'',8' 1.5'',182.2,6' 5.75''
Troy Williams,SF,10.00%,8.25,9.25,6' 5.75'',6' 6.75'',8' 6'',217.8,6' 8.25''
Kyle Wiltjer,PF,15.25%,8.25,9.50,6' 8.75'',6' 10'',8' 6.5'',242.8,7' 0.25''
Cat Barber,PG,4.50%,8.00,8.50,6' 1.5'',6' 2.75'',7' 11.5'',173.0,6' 5.5''
DeAndre Bembry,SG-SF,7.00%,8.00,9.25,6' 4.25'',6' 5.75'',8' 5'',206.6,6' 9.25''
Perry Ellis,PF,4.60%,8.00,8.50,6' 7'',6' 8.25'',8' 6'',217.8,6' 10.25''
Michael Gbinije,SG,5.40%,8.00,9.00,6' 5.5'',6' 6.75'',8' 5'',204.6,6' 7.5''
Melo Trimble,PG,8.35%,8.00,8.75,6' 1.25'',6' 2.5'',7' 8.5'',191.8,6' 2''
Marcus Paige,PG,4.30%,7.75,8.75,6' 0.5'',6' 1.75'',8' 1'',163.8,6' 6.25''
Tyler Ulis,PG,5.20%,7.50,7.50,5' 8.75'',5' 10'',7' 4.5'',149.2,6' 2''
Kris Dunn,PG,-%,-,-,6' 3'',6' 4.25'',8' 4'',0.0,6' 9.5''
