PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Bradley Beal,SG,6.00%,8.50,9.00,6' 3.25'',6' 4.75'',8' 4'',201.8,6' 8''
Kim English,SG,4.30%,8.50,8.75,6' 4.5'',6' 5.75'',8' 2'',192.0,6' 6.5''
Drew Gordon,PF,9.10%,8.50,9.75,6' 8'',6' 8.75'',8' 7.5'',239.0,6' 11.5''
Robbie Hummel,SF,9.40%,8.50,9.50,6' 7.25'',6' 8.5'',8' 6'',218.0,6' 8.5''
Doron Lamb,SG-PG,6.70%,8.50,8.75,6' 3.25'',6' 4.75'',8' 2.5'',199.4,6' 6.75''
Scott Machado,PG,5.80%,8.50,9.50,6' 1'',6' 2'',7' 10.5'',205.8,6' 4''
Kendall Marshall,PG,7.80%,8.50,9.00,6' 3.25'',6' 4.25'',8' 0'',198.4,6' 5.5''
Darius Miller,SF-SG,7.50%,8.50,8.75,6' 6'',6' 7.5'',8' 5'',233.4,6' 9''
Tony Mitchell,SG,5.70%,8.50,10.00,6' 5.25'',6' 6.25'',8' 4'',216.4,6' 10''
Kevin Murphy,SG,5.80%,8.50,8.50,6' 5'',6' 6.25'',8' 3'',194.0,6' 6.75''
Austin Rivers,SG-PG,6.20%,8.50,10.00,6' 3.5'',6' 5'',8' 0.5'',202.8,6' 7.25''
Tomas Satoransky,PG-SG,5.20%,8.50,9.50,6' 6.5'',6' 7.5'',8' 4'',200.6,6' 7.25''
Mike Scott,PF,10.60%,8.50,9.00,6' 7.25'',6' 8.75'',8' 8'',240.8,6' 10.75''
Dion Waiters,SG,8.50%,8.50,9.50,6' 2.5'',6' 4'',8' 2'',221.0,6' 7.25''
Jared Cunningham,SG-PG,3.60%,8.25,9.00,6' 3.5'',6' 5'',8' 2'',187.6,6' 6.5''
Marcus Denmon,SG,6.60%,8.25,9.75,6' 2.25'',6' 3.25'',7' 10.5'',188.2,6' 5''
Jordan Taylor,PG,5.50%,8.25,9.50,6' 1'',6' 2'',7' 8.5'',192.8,6' 3''
Jeff Taylor,SF-SG,4.20%,8.25,9.75,6' 6'',6' 7.25'',8' 5.5'',212.8,6' 6.25''
Marquis Teague,PG,6.30%,8.25,7.75,6' 1'',6' 2'',8' 0.5'',179.8,6' 7.25''
Hollis Thompson,SF,6.00%,8.25,9.75,6' 6.75'',6' 8'',8' 6.5'',206.0,6' 9.5''
Tony Wroten,PG,5.20%,8.00,9.00,6' 4.75'',6' 6'',8' 5'',203.2,6' 9''
J'Covan Brown,PG,12.50%,7.75,8.25,6' 1'',6' 2.25'',8' 0'',202.4,6' 5.25''
