PLAYER,POS,BODY FAT %,HAND LENGTH (inches),HAND WIDTH (inches),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Davon Reed,SG-SF,6.50%,9.25,9.50,6' 4.5'',6' 5.5'',8' 6'',206.2,7' 0''
Devin Robinson,SF,3.20%,9.25,10.25,6' 7'',6' 8.25'',8' 10'',189.6,7' 0.75''
D.J. Wilson,PF,6.40%,9.25,10.25,6' 8.75'',6' 10.5'',9' 1.5'',234.4,7' 3''
Edrice Adebayo,PF-C,5.20%,9.50,8.75,6' 8.75'',6' 9.75'',9' 0'',242.6,7' 2.75''
Jarrett Allen,C,7.40%,9.50,10.50,6' 9'',6' 10.25'',9' 1.5'',233.6,7' 5.25''
Ike Anigbogu,C,5.40%,9.50,10.00,6' 8.5'',6' 9.75'',9' 2.5'',252.2,7' 6.25''
Tony Bradley,C,12.00%,9.50,9.50,6' 9.25'',6' 10.75'',9' 4.5'',248.8,7' 5''
Thomas Bryant,PF-C,9.40%,9.50,10.25,6' 9.5'',6' 10.75'',9' 4.5'',247.8,7' 6''
Harry Giles,PF,5.20%,9.50,10.75,6' 9.25'',6' 10.5'',9' 1.5'',232.0,7' 3.25''
Cameron Oliver,PF,7.70%,9.50,10.25,6' 7'',6' 8.25'',8' 10.5'',238.6,7' 1.25''
Caleb Swanigan,PF,-%,9.50,10.25,6' 7.5'',6' 8.5'',9' 0'',245.6,7' 3''
Markelle Fultz,PG,-%,-,-,,,,-,
